resp.id,ques,alt,carpool,seat,cargo,eng,price,choice
1,1,1,yes,6,2ft,gas,35,0
1,1,2,yes,8,3ft,hyb,30,0
1,1,3,yes,6,3ft,gas,30,1
1,2,1,yes,6,2ft,gas,30,0
1,2,2,yes,7,3ft,gas,35,1
1,2,3,yes,6,2ft,elec,35,0
1,3,1,yes,8,3ft,gas,35,1
1,3,2,yes,7,3ft,elec,30,0
1,3,3,yes,8,2ft,elec,40,0
1,4,1,yes,7,3ft,elec,40,1
1,4,2,yes,8,3ft,gas,40,0
1,4,3,yes,6,2ft,hyb,30,0
1,5,1,yes,6,3ft,elec,30,1
1,5,2,yes,6,3ft,elec,40,0
1,5,3,yes,6,3ft,hyb,40,0
1,6,1,yes,6,2ft,elec,40,0
1,6,2,yes,7,2ft,gas,35,1
1,6,3,yes,7,2ft,hyb,35,0
1,7,1,yes,6,3ft,hyb,35,1
1,7,2,yes,7,3ft,gas,40,0
1,7,3,yes,6,2ft,elec,30,0
1,8,1,yes,6,3ft,elec,35,0
1,8,2,yes,8,3ft,hyb,40,0
1,8,3,yes,7,3ft,hyb,30,1
1,9,1,yes,6,2ft,hyb,35,1
1,9,2,yes,7,2ft,gas,30,0
1,9,3,yes,7,2ft,gas,40,0
1,10,1,yes,8,3ft,elec,35,0
1,10,2,yes,8,3ft,elec,30,1
1,10,3,yes,7,2ft,elec,35,0
1,11,1,yes,7,3ft,hyb,35,1
1,11,2,yes,8,2ft,hyb,40,0
1,11,3,yes,6,2ft,hyb,40,0
1,12,1,yes,8,3ft,elec,40,0
1,12,2,yes,8,2ft,hyb,35,0
1,12,3,yes,8,2ft,gas,35,1
1,13,1,yes,6,3ft,hyb,30,0
1,13,2,yes,8,2ft,hyb,30,1
1,13,3,yes,8,3ft,gas,30,0
1,14,1,yes,8,2ft,gas,40,0
1,14,2,yes,8,2ft,elec,30,0
1,14,3,yes,7,2ft,elec,30,1
1,15,1,yes,7,2ft,hyb,30,0
1,15,2,yes,7,3ft,hyb,40,1
1,15,3,yes,7,3ft,gas,30,0
2,16,1,no,6,2ft,elec,40,1
2,16,2,no,7,3ft,gas,40,0
2,16,3,no,6,2ft,elec,30,0
2,17,1,no,6,2ft,gas,30,1
2,17,2,no,6,3ft,hyb,40,0
2,17,3,no,7,2ft,gas,30,0
2,18,1,no,7,3ft,elec,30,0
2,18,2,no,8,3ft,elec,35,1
2,18,3,no,7,3ft,gas,35,0
2,19,1,no,8,3ft,elec,30,1
2,19,2,no,6,2ft,gas,35,0
2,19,3,no,8,3ft,elec,40,0
2,20,1,no,7,2ft,elec,40,0
2,20,2,no,7,2ft,elec,35,0
2,20,3,no,6,2ft,hyb,35,1
2,21,1,no,7,3ft,elec,40,0
2,21,2,no,8,2ft,elec,30,0
2,21,3,no,6,3ft,hyb,30,1
2,22,1,no,8,3ft,gas,30,1
2,22,2,no,7,2ft,hyb,35,0
2,22,3,no,6,2ft,hyb,40,0
2,23,1,no,8,2ft,gas,35,0
2,23,2,no,7,2ft,hyb,30,0
2,23,3,no,8,3ft,hyb,30,1
2,24,1,no,8,3ft,gas,35,1
